family,timesteps,variant,training_seed,episodes,mean_reward,median_reward,std_reward,min_reward,max_reward,mean_steps,median_steps,mean_reward_per_step,median_reward_per_step,sem_reward,ci95_reward
dqn,500000,dqn_500k_seed123,123.0,50,1105.6,940.0,229.53511135976294,850.0,1390.0,842.32,858.0,1.3340139544781966,1.1883691529709228,32.461166752579544,63.623886835055906
dqn,500000,dqn_500k_seed456,456.0,50,665.2,680.0,59.11731677653466,600.0,750.0,517.0,490.0,1.307180199501937,1.3545816733067728,8.360451115648182,16.386484186670437
dqn,500000,dqn_500k_seed789,789.0,50,616.0,460.0,268.28251937851195,410.0,1150.0,694.32,662.5,0.8839097631352275,0.863697705802969,37.94087774527143,74.364120380732
dqn,1000000,dqn_1m_seed123,123.0,50,815.0,810.0,240.68990974501037,430.0,1150.0,705.92,628.0,1.2294008970064219,1.2015817785510028,34.03869346877498,66.71583919879896
dqn,1000000,dqn_1m_seed456,456.0,50,751.8,780.0,65.76674924399451,670.0,830.0,582.32,529.0,1.3157228762822277,1.3243761996161227,9.300822873404753,18.229612831873315
dqn,1000000,dqn_1m_seed789,789.0,50,894.6,960.0,114.6460391191701,770.0,1030.0,615.88,640.0,1.4793672239445084,1.5,16.213398339468675,31.7782607453586
random,0,random_500k_protocol,,50,280.0,230.0,168.75292892393946,140.0,1010.0,505.92,499.0,0.5341549218301598,0.47046874401134486,23.86526807744181,46.77592543178595
reward_alpha0p001_beta1,500000,reward_500k_alpha0p001_beta1_seed123,123.0,50,884.8,1000.0,375.1257748259583,510.0,1420.0,618.12,661.0,1.3999497920102186,1.2277475467659515,53.050795835458594,103.97955983749884
reward_alpha0p001_beta1,500000,reward_500k_alpha0p001_beta1_seed456,456.0,50,430.2,310.0,336.51569997034403,130.0,980.0,422.92,312.5,0.8996936866889991,0.9920025395265012,47.59050668495359,93.27739310250904
reward_alpha0p001_beta1,500000,reward_500k_alpha0p001_beta1_seed789,789.0,50,660.6,620.0,106.98865093350523,570.0,820.0,630.08,562.5,1.090526660425054,1.1061560988031576,15.130480117016399,29.65574102935214
reward_alpha0p001_beta1,1000000,reward_1m_alpha0p001_beta1_seed123,123.0,50,2041.0,2380.0,718.2298250787508,540.0,2510.0,901.6,856.0,2.3391434736140386,2.7658347513707695,101.5730359527225,199.0831504673361
reward_alpha0p001_beta1,1000000,reward_1m_alpha0p001_beta1_seed456,456.0,50,677.6,690.0,59.882878885984354,600.0,760.0,527.12,518.5,1.2887121487637674,1.2861148169765695,8.468717947450452,16.598687177002887
reward_alpha0p001_beta1,1000000,reward_1m_alpha0p001_beta1_seed789,789.0,50,1086.4,1240.0,258.70762001352256,700.0,1340.0,733.88,638.5,1.532058199976111,1.3779527559055118,36.58678249123887,71.71009368282819
