comparison_group,reward_agent_group,training_seed,evaluation_seed,dqn_performance,reward_agent_performance,reward_minus_dqn,reward_pct_change
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1000,1390.0,510.0,-880.0,-63.30935251798561
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1001,940.0,1420.0,480.0,51.06382978723404
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1002,940.0,1420.0,480.0,51.06382978723404
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1003,940.0,1420.0,480.0,51.06382978723404
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1004,940.0,1420.0,480.0,51.06382978723404
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1005,1240.0,570.0,-670.0,-54.03225806451613
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1006,850.0,1000.0,150.0,17.647058823529413
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1007,1240.0,570.0,-670.0,-54.03225806451613
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1008,850.0,1000.0,150.0,17.647058823529413
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1009,1390.0,510.0,-880.0,-63.30935251798561
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1010,850.0,1000.0,150.0,17.647058823529413
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1011,1240.0,570.0,-670.0,-54.03225806451613
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1012,940.0,1420.0,480.0,51.06382978723404
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1013,850.0,1000.0,150.0,17.647058823529413
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1014,850.0,1000.0,150.0,17.647058823529413
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1015,940.0,1420.0,480.0,51.06382978723404
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1016,1240.0,570.0,-670.0,-54.03225806451613
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1017,1240.0,570.0,-670.0,-54.03225806451613
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1018,850.0,1000.0,150.0,17.647058823529413
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1019,940.0,1420.0,480.0,51.06382978723404
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1020,1390.0,510.0,-880.0,-63.30935251798561
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1021,1240.0,570.0,-670.0,-54.03225806451613
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1022,850.0,1000.0,150.0,17.647058823529413
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1023,850.0,1000.0,150.0,17.647058823529413
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1024,940.0,1420.0,480.0,51.06382978723404
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1025,1390.0,510.0,-880.0,-63.30935251798561
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1026,1390.0,510.0,-880.0,-63.30935251798561
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1027,850.0,1000.0,150.0,17.647058823529413
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1028,940.0,1420.0,480.0,51.06382978723404
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1029,1390.0,510.0,-880.0,-63.30935251798561
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1030,850.0,1000.0,150.0,17.647058823529413
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1031,850.0,1000.0,150.0,17.647058823529413
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1032,1390.0,510.0,-880.0,-63.30935251798561
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1033,1240.0,570.0,-670.0,-54.03225806451613
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1034,1390.0,510.0,-880.0,-63.30935251798561
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1035,1240.0,570.0,-670.0,-54.03225806451613
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1036,850.0,1000.0,150.0,17.647058823529413
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1037,850.0,1000.0,150.0,17.647058823529413
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1038,1390.0,510.0,-880.0,-63.30935251798561
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1039,940.0,1420.0,480.0,51.06382978723404
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1040,1240.0,570.0,-670.0,-54.03225806451613
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1041,940.0,1420.0,480.0,51.06382978723404
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1042,940.0,1420.0,480.0,51.06382978723404
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1043,1390.0,510.0,-880.0,-63.30935251798561
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1044,1390.0,510.0,-880.0,-63.30935251798561
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1045,940.0,1420.0,480.0,51.06382978723404
