episode_id,agent_name,reward_total,score,episode_length,steps,score_per_step,reward_per_step,lives_lost,seed,model_path,timestamp,variant
0,dqn_500k_seed123,1390.0,,858,858,,1.62004662004662,,1000,models/dqn_500k_seed123.zip,2026-06-07T13:03:11,dqn_seed123
1,dqn_500k_seed123,940.0,,791,791,,1.1883691529709228,,1001,models/dqn_500k_seed123.zip,2026-06-07T13:03:14,dqn_seed123
2,dqn_500k_seed123,940.0,,795,795,,1.1823899371069182,,1002,models/dqn_500k_seed123.zip,2026-06-07T13:03:17,dqn_seed123
3,dqn_500k_seed123,940.0,,798,798,,1.1779448621553883,,1003,models/dqn_500k_seed123.zip,2026-06-07T13:03:21,dqn_seed123
4,dqn_500k_seed123,940.0,,796,796,,1.1809045226130652,,1004,models/dqn_500k_seed123.zip,2026-06-07T13:03:24,dqn_seed123
5,dqn_500k_seed123,1240.0,,721,721,,1.7198335644937586,,1005,models/dqn_500k_seed123.zip,2026-06-07T13:03:27,dqn_seed123
6,dqn_500k_seed123,850.0,,957,957,,0.8881922675026124,,1006,models/dqn_500k_seed123.zip,2026-06-07T13:03:31,dqn_seed123
7,dqn_500k_seed123,1240.0,,721,721,,1.7198335644937586,,1007,models/dqn_500k_seed123.zip,2026-06-07T13:03:35,dqn_seed123
8,dqn_500k_seed123,850.0,,954,954,,0.8909853249475891,,1008,models/dqn_500k_seed123.zip,2026-06-07T13:03:39,dqn_seed123
9,dqn_500k_seed123,1390.0,,864,864,,1.6087962962962965,,1009,models/dqn_500k_seed123.zip,2026-06-07T13:03:42,dqn_seed123
10,dqn_500k_seed123,850.0,,952,952,,0.8928571428571429,,1010,models/dqn_500k_seed123.zip,2026-06-07T13:03:47,dqn_seed123
11,dqn_500k_seed123,1240.0,,723,723,,1.7150760719225449,,1011,models/dqn_500k_seed123.zip,2026-06-07T13:03:50,dqn_seed123
12,dqn_500k_seed123,940.0,,798,798,,1.1779448621553883,,1012,models/dqn_500k_seed123.zip,2026-06-07T13:03:53,dqn_seed123
13,dqn_500k_seed123,850.0,,953,953,,0.8919202518363064,,1013,models/dqn_500k_seed123.zip,2026-06-07T13:03:57,dqn_seed123
14,dqn_500k_seed123,850.0,,956,956,,0.8891213389121339,,1014,models/dqn_500k_seed123.zip,2026-06-07T13:04:02,dqn_seed123
15,dqn_500k_seed123,940.0,,791,791,,1.1883691529709228,,1015,models/dqn_500k_seed123.zip,2026-06-07T13:04:05,dqn_seed123
16,dqn_500k_seed123,1240.0,,718,718,,1.7270194986072422,,1016,models/dqn_500k_seed123.zip,2026-06-07T13:04:08,dqn_seed123
17,dqn_500k_seed123,1240.0,,722,722,,1.7174515235457064,,1017,models/dqn_500k_seed123.zip,2026-06-07T13:04:11,dqn_seed123
18,dqn_500k_seed123,850.0,,955,955,,0.8900523560209425,,1018,models/dqn_500k_seed123.zip,2026-06-07T13:04:15,dqn_seed123
19,dqn_500k_seed123,940.0,,791,791,,1.1883691529709228,,1019,models/dqn_500k_seed123.zip,2026-06-07T13:04:19,dqn_seed123
20,dqn_500k_seed123,1390.0,,857,857,,1.6219369894982496,,1020,models/dqn_500k_seed123.zip,2026-06-07T13:04:23,dqn_seed123
21,dqn_500k_seed123,1240.0,,718,718,,1.7270194986072422,,1021,models/dqn_500k_seed123.zip,2026-06-07T13:04:26,dqn_seed123
22,dqn_500k_seed123,850.0,,956,956,,0.8891213389121339,,1022,models/dqn_500k_seed123.zip,2026-06-07T13:04:30,dqn_seed123
23,dqn_500k_seed123,850.0,,953,953,,0.8919202518363064,,1023,models/dqn_500k_seed123.zip,2026-06-07T13:04:34,dqn_seed123
24,dqn_500k_seed123,940.0,,792,792,,1.1868686868686869,,1024,models/dqn_500k_seed123.zip,2026-06-07T13:04:38,dqn_seed123
25,dqn_500k_seed123,1390.0,,860,860,,1.6162790697674418,,1025,models/dqn_500k_seed123.zip,2026-06-07T13:04:41,dqn_seed123
26,dqn_500k_seed123,1390.0,,858,858,,1.62004662004662,,1026,models/dqn_500k_seed123.zip,2026-06-07T13:04:45,dqn_seed123
27,dqn_500k_seed123,850.0,,955,955,,0.8900523560209425,,1027,models/dqn_500k_seed123.zip,2026-06-07T13:04:49,dqn_seed123
